Location,Objects
playroom,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactus', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pods', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee beans', 'coffee pods', 'coffeemaker', 'colored wood blocks', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty gloves', 'heavy master chef can', 'helmet', 'herring fillets', 'honey dipper', 'incontinence pads', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glass', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pads', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cups', 'stand mixer', 'storage bin', 'strawberry', 'string lights', 'stuffed toy', 'sugar box', 'sugar sprinkles', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pods', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
room,"['table', 'wardrobe']"
storage room,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactus', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pods', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee beans', 'coffee pods', 'coffeemaker', 'colored wood blocks', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty gloves', 'heavy master chef can', 'helmet', 'herring fillets', 'honey dipper', 'incontinence pads', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glass', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pads', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cups', 'stand mixer', 'storage bin', 'strawberry', 'string lights', 'stuffed toy', 'sugar box', 'sugar sprinkles', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pods', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
television room,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactus', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pods', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee beans', 'coffee pods', 'coffeemaker', 'colored wood blocks', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty gloves', 'heavy master chef can', 'helmet', 'herring fillets', 'honey dipper', 'incontinence pads', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glass', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pads', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cups', 'stand mixer', 'storage bin', 'strawberry', 'string lights', 'stuffed toy', 'sugar box', 'sugar sprinkles', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pods', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
trap,['mouse']
utility room,"['action figure', 'adjustable wrench', 'android figure', 'anti slip tape', 'antidepressant', 'apple', 'backpack', 'balancing cactus', 'banana', 'baseball', 'bath sheet', 'battery', 'beard color gel', 'beauty pack', 'bleach cleanser', 'blender jar', 'board game', 'book', 'bookend', 'bowl', 'box', 'bundt pan', 'butter dish', 'cake mix', 'cake pan', 'camera', 'can opener', 'candle holder', 'candy', 'candy bar', 'canister', 'card game', 'carrying case', 'casserole dish', 'cereal', 'chain', 'chocolate', 'chocolate box', 'chocolate milk pods', 'chocolate powder', 'chopping board', 'clamp', 'clay', 'clock', 'cloth', 'coffee beans', 'coffee pods', 'coffeemaker', 'colored wood blocks', 'condiment', 'cracker box', 'crayon', 'cube storage box', 'cup', 'cushion', 'desk caddy', 'diaper pack', 'dietary supplement', 'dish drainer', 'dishtowel', 'dispensing closure', 'dog bowl', 'dog chew toy', 'dollhouse toy', 'donut', 'drink coaster', 'duct tape', 'dumbbell', 'dumbbell rack', 'dustpan and brush', 'dutch oven', 'easter basket', 'electric heater', 'electric toothbrush', 'electronic adapter', 'electronic cable', 'face moisturizer', 'file sorter', 'fingerpaint', 'fitness tracker wristband', 'flashlight', 'flat screwdriver', 'foam brick', 'folder', 'fondant', 'fork', 'fruit snack', 'gelatin box', 'glove', 'golf ball', 'graphics card', 'hair color', 'hair conditioner', 'hair dryer', 'hair straightener', 'hammer', 'hand bell', 'handbag', 'hard drive', 'hard drive case', 'hat', 'headphone', 'heavy duty gloves', 'heavy master chef can', 'helmet', 'herring fillets', 'honey dipper', 'incontinence pads', 'ink cartridge', 'instant camera', 'invitation card', 'jar', 'jenga', 'jewelry box', 'keyboard', 'knife', 'knife block', 'labeling tape', 'lamp', 'lantern', 'laptop', 'laptop cover', 'laptop stand', 'large marker', 'laundry box', 'laxative', 'lego duplo', 'lemon', 'letter holder', 'light bulb', 'lime squeezer', 'lipstick', 'lunch bag', 'lunch box', 'magnifying glass', 'mascara', 'master chef can', 'measuring tape', 'medicine', 'milk fror', 'mini soccer ball', 'morboard', 'mouse', 'mouse pad', 'movie dvd', 'mug', 'multiport hub', 'mustard bottle', 'neck rest', 'nine hole peg test', 'nintendo switch', 'orange', 'padlock', 'paint bottle set', 'paint maker', 'pan', 'paper bag', 'parchment sheet', 'peach', 'pear', 'peg and hammer toy', 'pencil case', 'peppermint', 'pepsi can pack', 'pet food supplement', 'phillips screwdriver', 'phone armband case', 'phone stand', 'picture frame', 'pillow', 'pitcher base', 'plant', 'plant container', 'plant saucer', 'plate', 'plum', 'portable speaker', 'potted meat can', 'power drill', 'pressure cooker', 'pudding box', 'puzzle game', 'racquetball', 'ramekin', 'remote control', 'rmal laminator', 'router', 'rubiks cube', 'salt shaker', 'sanitary pads', 'saucer', 'saute pan', 'scissors', 'set-top box', 'shoe', 'shoe box', 'shredder', 'sidewalk chalk', 'skillet', 'skillet lid', 'skin care product', 'skin moisturizer', 'snack cake', 'snack dispenser', 'soap dish', 'soap dispenser', 'softball', 'software cd', 'sorting toy', 'sparkling water', 'spatula', 'sponge', 'sponge dish', 'spoon', 'spoon rest', 'stacking cups', 'stand mixer', 'storage bin', 'strawberry', 'string lights', 'stuffed toy', 'sugar box', 'sugar sprinkles', 'surface saver ring', 'sushi mat', 'table lamp', 'tablet', 'tablet holder', 'tablet stand', 'tampon', 'tea can pack', 'tea pods', 'teapot', 'tennis ball', 'toaster', 'tomato soup can', 'toothbrush holder', 'toothbrush pack', 'towel', 'toy airplane', 'toy animal', 'toy basketball', 'toy bowling set', 'toy construction set', 'toy fishing', 'toy food', 'toy furniture set', 'toy instrument', 'toy kitchen set', 'toy tool kit', 'toy vehicle', 'tray', 'tumbler', 'umbrella', 'usb drive', 'utensil holder', 'vase', 'video game', 'vinyl tape', 'virtual reality viewer', 'washcloth', 'waste basket', 'water bottle', 'weight loss guide', 'whale whistle', 'wipe warmer', 'wireless accessory', 'xylitol sweetener']"
